id,kosten,land,leiding,samen,zelf
5204,1,1,3,3,3
5232,4,2,4,1,2
5233,1,3,4,1,5
5267,2,2,4,4,1
5274,1,1,5,3,4
5283,3,1,4,4,2
5291,1,2,3,3,3
5293,1,2,4,3,5
5308,2,2,5,4,1
5310,3,1,4,4,1
5349,1,3,2,4,5
5363,2,2,1,2,2
5372,1,2,2,2,2
5373,2,1,5,3,4
5391,2,2,1,4,4
5412,2,1,3,4,5
5420,1,1,1,5,1
5430,1,3,3,3,1
5432,3,1,4,2,4
5433,5,1,1,4,1
5443,1,3,4,2,5
5444,5,4,1,1,1
5456,1,2,3,3,5
5467,1,1,3,3,3
5473,1,3,1,5,4
5501,2,2,2,2,1
5502,4,2,3,5,1
5504,1,1,3,3,3
5507,1,4,2,2,5
5522,3,2,1,4,4
5547,2,4,3,5,1
5550,1,2,4,3,5
5557,1,1,1,1,1
5559,2,2,1,2,2
5563,2,3,3,3,1
5570,1,2,4,3,5
5578,2,2,2,1,2
5620,2,4,4,1,3
5629,1,1,3,3,3
5641,1,2,4,4,2
5644,1,4,2,2,5
5666,1,2,2,2,2
5671,4,2,1,5,2
5674,1,1,4,3,4
5676,3,2,1,5,4
5699,2,1,2,2,2
5716,1,2,3,3,5
5722,1,5,2,2,2
5729,1,4,2,2,5
5730,5,4,1,1,1
5735,3,2,1,3,3
5737,1,2,5,4,3
5738,1,2,4,4,3
5741,3,4,4,1,2
5754,1,3,1,3,3
5761,2,1,2,2,2
5765,1,2,3,3,5
5768,1,1,4,3,5
5772,1,1,5,4,3
5777,4,3,4,1,2
5797,1,4,3,5,2
5814,1,2,4,3,5
5816,1,3,5,4,2
5819,2,3,4,5,1
5827,2,2,4,1,5
5837,1,5,4,1,3
5844,1,1,1,1,1
5847,1,4,4,2,2
5868,2,2,4,4,1
5881,1,1,4,3,4
5882,2,2,4,4,1
5885,3,2,4,1,4
5898,1,1,3,4,5
5904,1,1,3,3,3
5930,1,2,5,3,3
5936,1,1,1,1,1
5937,1,4,4,1,1
5940,1,3,3,3,1
5945,3,4,2,4,1
5954,1,2,4,3,5
5970,1,2,3,3,5
5972,3,5,1,4,2
5984,4,1,1,4,3
5989,4,1,4,2,2
5999,2,4,1,5,3
6038,1,4,3,2,5
6040,1,4,2,2,5
6069,1,3,2,3,5
6086,4,3,1,4,1
6088,3,2,1,5,4
6091,2,2,5,4,1
6093,4,4,1,2,2
6110,1,2,3,4,5
6111,2,4,5,3,1
6120,1,5,2,2,2
6121,2,1,3,3,5
6122,1,4,3,4,2
6124,1,3,2,3,5
6134,1,2,2,2,5
6140,3,1,5,2,4
6191,3,2,4,4,1
6193,1,4,2,3,4
6205,3,3,2,5,1
6223,5,1,1,3,3
6236,2,5,3,3,1
6241,1,2,3,3,3
6244,2,2,2,2,1
6259,1,1,3,3,3
6261,1,2,4,2,5
6269,2,5,1,3,3
6276,2,2,4,1,4
6279,1,3,4,2,5
6280,2,1,3,3,5
6284,3,1,5,4,2
6287,1,2,4,4,3
6302,3,4,2,5,1
6306,3,1,4,1,4
6316,4,3,2,1,5
6317,2,1,3,3,3
6325,1,2,2,2,5
6327,1,2,4,3,5
6332,3,4,2,5,1
6344,1,2,4,3,5
6346,1,2,5,4,3
6353,3,3,1,2,5
6354,1,2,4,3,5
6361,1,1,4,4,3
6365,1,1,3,4,5
6409,4,5,2,1,3
6410,5,4,2,1,2
6411,1,2,3,3,5
6446,1,3,2,5,4
6473,1,2,3,3,3
6484,2,1,3,3,3
6554,1,2,2,2,2
6577,3,4,1,2,5
6589,2,2,2,2,1
6591,3,1,2,3,3
6595,4,1,1,1,4
6611,1,3,4,2,4
6639,1,1,4,4,3
6653,1,1,3,3,3
6664,1,1,4,3,4
6667,1,1,4,3,4
6676,3,5,2,1,3
6682,1,5,3,3,2
6686,1,4,2,2,5
6720,1,2,4,2,5
6737,2,1,3,4,5
6738,2,4,1,3,5
6746,2,1,5,4,3
6769,2,3,4,1,5
6848,2,1,5,3,4
6892,3,3,2,5,1
6894,1,2,2,2,2
6903,1,1,4,3,5
6948,2,4,1,4,2
6961,1,2,3,4,4
6973,2,1,3,3,3
6980,1,2,4,3,5
7005,2,4,5,3,1
7045,3,2,1,4,4
7049,1,2,3,3,5
7054,2,1,4,3,5
7055,3,4,2,5,1
7107,1,1,1,1,1
7136,1,3,3,1,3
7139,3,5,3,1,1
7141,4,3,1,2,5
7155,1,2,3,5,4
7157,1,1,1,1,1
7161,2,2,1,4,4
7252,3,2,4,4,1
7259,3,2,1,4,4
7409,1,1,1,1,1
7492,3,3,3,1,1
7497,2,2,1,4,4
7499,1,1,5,3,4
7507,1,2,4,3,5
7512,1,2,5,4,3
7513,2,4,1,4,2
7529,1,2,3,3,5
7571,1,1,3,3,3
7580,2,2,1,2,2
7642,2,1,3,3,5
7648,5,1,2,4,2
7677,3,3,5,1,2
7688,1,2,3,3,5
7726,1,2,3,4,4
7811,2,1,2,2,5
7839,1,2,4,3,5
7854,2,5,2,2,1
7868,1,1,3,3,3
7882,2,2,2,2,1
7932,3,2,1,4,5
7958,3,4,1,1,4
7966,3,3,5,1,1
7984,1,2,5,3,4
8017,2,2,1,4,4
8035,2,3,3,3,1
8057,2,1,4,4,3
8071,4,5,2,1,2
8131,1,2,5,4,3
8134,1,1,3,3,3
8163,2,2,2,2,1
8169,1,4,5,3,2
8181,2,2,4,1,5
8187,2,2,4,1,5
8189,4,1,5,2,3
8194,3,1,4,4,2
8197,2,2,1,2,2
8221,5,1,3,2,4
8240,1,2,5,2,4
8259,2,3,4,1,5
8270,3,3,1,1,3
8275,1,3,2,4,5
8280,2,3,1,4,4
8294,1,3,4,2,5
8301,1,2,3,4,5
8312,2,2,1,4,4
8314,2,1,3,3,3
8315,2,1,3,3,3
8320,1,3,3,3,1
8322,2,2,4,4,1
8338,4,3,1,4,2
8345,1,2,2,2,5
8352,3,3,2,1,3
8389,1,2,3,3,5
8399,3,3,1,2,5
8413,1,2,5,4,3
8428,2,4,1,5,3
8433,1,3,2,3,5
8445,3,3,3,2,1
8451,3,1,5,3,2
8454,2,1,2,2,5
8455,1,2,5,3,4
8462,2,1,3,4,4
8475,1,1,4,3,5
8481,1,2,3,5,3
8488,1,2,3,4,5
8520,1,2,4,3,5
8532,1,2,4,5,3
8535,1,2,3,5,4
8553,4,1,3,4,2
8570,1,2,4,3,5
8578,4,1,2,3,5
8580,3,2,1,4,5
8581,3,2,1,4,4
8601,2,3,3,3,1
8608,5,1,2,4,3
8609,1,5,2,2,2
8630,2,1,4,3,5
8634,1,5,1,4,3
8641,1,5,3,2,4
8652,4,4,1,3,2
8653,1,2,5,4,3
8676,3,3,1,5,2
8691,5,2,1,4,2
8695,1,2,4,3,5
8701,2,1,4,3,4
8738,1,1,4,3,4
8751,1,3,4,2,4
8757,2,2,1,4,4
8783,3,1,5,2,4
8784,1,1,3,3,3
8799,1,1,3,3,3
8805,3,3,1,1,5
8814,1,2,4,3,5
8819,1,2,3,3,5
8853,1,4,1,1,4
8854,2,1,3,4,5
8858,2,2,2,1,2
8863,2,1,4,4,3
8874,5,3,1,2,4
8883,3,1,1,4,4
8900,1,3,4,5,2
8901,3,2,1,3,3
8908,1,1,1,1,1
8915,4,2,2,4,1
8916,4,3,1,2,5
8918,1,1,3,3,3
8922,1,2,4,4,3
8933,1,1,1,1,1
8935,2,3,1,5,4
8986,2,1,4,3,4
8996,1,2,4,2,5
9018,4,2,1,3,5
9051,4,2,1,4,2
9059,1,2,4,3,4
9067,2,2,1,4,4
9077,1,1,3,5,4
9104,1,4,4,2,2
9105,3,4,2,1,5
9132,2,1,2,2,2
9155,1,3,1,3,3
9157,2,2,2,2,1
9171,4,3,1,5,1
9192,1,2,4,3,5
9208,2,1,3,4,5
9223,3,5,1,3,2
9228,1,1,1,1,1
9288,1,1,1,1,1
9297,3,1,2,5,4
9320,1,3,3,5,1
9331,3,3,1,2,3
9333,5,2,1,2,2
9356,3,1,4,4,2
9398,4,1,3,2,5
9420,1,5,3,3,2
9428,2,3,3,3,1
9447,1,2,2,2,5
9483,3,5,2,3,1
9505,2,3,1,5,3
9551,1,1,4,4,3
9554,2,1,4,3,4
9555,3,3,1,5,1
9557,1,2,4,3,4
9571,4,3,2,5,1
9589,3,2,5,4,1
9595,3,2,5,4,1
9606,2,3,3,1,3
9611,3,3,1,5,2
9717,1,2,3,4,4
9747,3,3,1,2,5
9781,3,2,1,3,3
9823,2,2,4,1,4
10294,2,2,2,2,1
10383,1,3,2,4,4
10707,1,5,3,3,2
10747,5,1,2,2,2
12860,1,5,3,2,4
19217,3,4,1,5,2
25484,1,4,1,1,4
29853,3,3,1,5,2
33717,1,2,2,2,2
34438,4,1,1,4,1
40828,1,4,2,2,5
43084,2,3,4,1,4
48099,2,1,4,3,5
48848,1,1,3,3,3
49760,3,1,2,5,4
52249,1,5,3,1,3
52601,3,1,2,4,4
54286,3,1,4,4,2
56375,2,5,3,3,1
56866,1,2,4,3,5
57372,1,2,3,3,3
60927,1,1,4,3,4
63799,1,2,4,3,4
65320,2,1,5,2,4
69316,3,3,5,2,1
69637,1,2,3,3,5
70298,1,1,3,3,3
71038,1,2,3,5,3
71754,4,3,1,2,5
73575,3,2,4,1,5
74275,2,2,2,2,1
75267,3,3,1,1,3
77166,2,1,2,2,2
77472,1,2,4,4,3
81518,1,2,2,2,2
84068,3,4,5,1,2
87950,1,2,4,3,5
92531,2,2,5,1,4
95070,3,4,2,5,1
95180,1,3,2,5,4
96113,2,1,3,3,3
96374,2,1,4,3,5
96424,4,1,2,3,4
97721,2,1,3,3,3
98772,1,2,4,3,4
101227,2,1,2,2,5
101676,4,1,3,2,4
102329,4,3,1,5,2
102924,1,2,4,3,5
103824,1,1,1,1,1
104352,1,4,3,2,5
104635,3,1,4,4,2
104717,4,1,2,5,2
104877,1,3,2,4,4
105094,1,2,2,2,2
105636,1,1,3,3,3
107040,3,1,4,2,4
107886,2,1,4,4,3
108039,1,3,4,4,1
108247,2,2,4,4,1
108461,3,1,2,4,4
108577,1,5,3,1,3
109064,1,3,4,2,5
109651,3,3,1,3,2
110753,2,2,1,4,5
110779,1,5,4,3,2
110855,3,1,3,3,1
111878,1,2,4,3,5
111888,2,2,1,4,4
111902,2,3,1,4,4
111916,1,1,3,3,3
111929,1,4,2,2,5
112152,1,1,3,3,3
112229,4,1,3,4,2
112253,1,2,4,3,5
112333,1,5,3,2,3
112334,1,3,4,4,2
112415,2,1,3,4,4
112507,1,1,4,4,3
112768,1,5,3,3,2
112936,3,1,2,5,4
113027,3,2,3,3,1
113237,2,2,1,4,4
113324,2,5,1,4,3
113326,1,2,4,3,5
113435,2,2,4,4,1
113707,3,4,4,2,1
113926,4,3,1,4,2
114025,1,1,1,1,1
114228,1,2,3,3,3
114406,2,1,3,3,3
114722,2,1,2,2,5
114957,2,3,5,4,1
115366,2,3,1,4,4
115825,2,2,4,4,1
115974,1,3,5,1,4
116257,2,2,2,2,1
116305,3,3,2,3,1
116763,3,5,4,2,1
116765,1,4,1,1,4
117006,1,2,3,3,5
117017,2,5,2,2,1
117079,2,4,1,4,3
117102,1,1,4,3,4
117111,3,2,1,5,3
117121,1,2,2,2,2
117151,3,4,1,2,5
117254,1,1,4,3,4
117281,3,1,5,4,2
117306,2,1,3,3,3
117333,1,2,4,4,3
117334,1,3,2,4,4
117336,1,1,3,3,3
117343,2,2,1,2,5
117344,1,1,3,3,3
117357,2,2,4,4,1
117367,2,1,3,4,5
117375,2,4,1,2,4
117386,1,3,1,4,4
117389,1,1,1,1,1
117390,4,2,1,4,2
117391,1,3,4,2,5
117403,1,5,1,4,3
117404,4,1,1,3,4
117405,2,2,1,4,4
117407,1,2,3,3,5
117415,3,2,3,3,1
117417,2,5,1,3,4
117430,2,1,4,3,4
117438,1,1,3,3,3
117449,2,1,2,2,2
117481,2,2,1,4,4
117497,3,3,1,5,2
117498,1,4,2,5,2
117500,1,2,2,2,2
117501,2,2,4,4,1
117502,2,1,4,3,5
117503,2,4,2,5,1
117506,2,1,2,4,4
117507,3,5,1,4,2
117510,2,2,1,4,4
117511,2,1,5,4,3
117520,1,2,3,3,3
117526,1,5,3,2,4
117541,1,2,3,3,3
117547,1,2,4,4,3
117553,2,2,1,5,2
117567,2,1,2,2,2
117584,2,3,1,5,3
117585,1,2,3,3,5
117605,1,1,3,5,4
117608,2,3,5,4,1
117629,2,2,5,4,1
117640,1,4,2,2,5
117651,2,2,1,4,4
117659,3,1,1,4,4
117667,1,2,2,2,2
117698,4,2,5,1,3
117737,2,2,1,2,2
117745,1,3,2,5,4
117750,2,2,1,4,5
117751,3,1,3,2,5
117758,1,2,3,3,5
117760,1,2,4,2,5
117761,1,4,2,5,3
117763,1,2,3,4,5
117770,1,2,2,2,2
117775,3,4,2,5,1
117777,2,1,5,4,3
117778,2,2,2,1,2
117788,3,4,1,4,2
117795,2,2,2,1,2
117808,1,4,3,4,1
117810,1,2,4,5,2
117814,2,1,2,2,2
117817,3,4,1,1,4
117837,3,2,1,4,4
117839,3,3,3,2,1
117841,4,3,1,5,2
117844,2,2,1,4,4
117845,2,3,1,5,4
117846,1,2,3,3,5
117850,3,3,1,5,1
117863,4,3,1,4,2
117878,1,1,3,3,3
117879,4,2,1,4,3
117884,3,2,4,4,1
117890,2,1,4,3,5
117893,2,2,1,2,2
117897,2,2,4,1,5
117900,1,2,4,3,4
117902,3,1,4,4,2
117904,2,1,3,4,4
117909,2,1,5,4,3
117915,1,2,4,3,5
117917,1,4,1,3,5
117918,2,2,1,4,5
117920,1,2,2,2,2
117922,2,1,5,3,4
117924,3,5,1,4,2
117951,2,3,1,4,4
117952,2,3,4,4,1
117953,1,3,2,4,5
117958,1,1,1,4,4
117961,1,3,4,4,2
117966,1,2,4,3,5
117967,2,1,2,2,2
117973,2,1,5,4,3
117981,1,1,3,3,3
117984,1,2,5,3,4
117999,1,3,2,4,5
118012,1,2,4,4,3
118016,2,1,3,5,4
118018,1,2,2,2,2
118026,4,2,1,4,3
118029,1,1,3,4,4
118031,3,1,2,5,4
118036,2,2,2,2,1
118043,1,1,3,4,5
118045,5,1,3,2,3
118050,1,1,1,1,1
118054,2,1,3,3,5
118058,1,2,4,3,5
118063,2,1,3,5,4
118069,1,3,4,2,4
118073,5,1,2,2,4
118075,2,1,4,3,5
118076,2,4,1,5,3
118078,1,2,2,2,5
118079,1,3,3,3,2
118084,2,2,4,4,1
118087,1,1,4,3,5
118090,1,4,4,2,2
118104,1,4,1,1,5
118105,1,2,5,3,3
118151,1,2,3,3,5
118154,3,1,3,3,1
118163,1,3,3,2,5
118177,2,1,4,3,4
118178,2,1,3,3,3
118196,2,4,1,5,3
118214,2,2,4,4,1
118216,4,2,1,5,3
118223,1,3,1,4,5
118225,1,2,3,5,4
118234,1,2,4,3,5
118250,2,1,3,4,5
118261,2,2,2,2,1
118262,1,3,5,3,2
118282,2,1,4,3,4
118287,2,2,4,4,1
118292,3,2,1,4,4
118294,2,1,5,4,2
118297,1,2,3,3,3
118301,2,1,2,5,2
118304,1,2,4,3,5
118306,2,1,4,3,4
118310,4,3,1,1,5
118312,2,3,4,1,4
118325,3,2,5,4,1
118338,1,2,2,2,2
118345,3,3,1,5,2
118350,2,1,2,2,2
118357,1,1,3,3,3
118358,2,1,5,4,3
118374,1,2,3,4,5
118391,2,2,4,4,1
118394,3,2,4,4,1
118403,3,2,4,1,4
118406,4,1,2,5,3
118415,1,4,2,3,4
118420,3,1,1,3,5
118430,3,4,1,5,2
118433,2,2,1,2,2
118445,1,3,2,5,4
118446,2,3,1,3,3
118449,2,2,1,4,5
118457,1,2,3,5,4
118458,2,2,2,2,1
118459,1,2,4,3,4
118469,1,3,1,3,3
118470,2,2,1,4,4
118471,2,2,2,1,2
118478,2,2,1,4,5
118486,3,3,2,5,1
118487,1,1,4,4,3
118494,2,2,5,4,1
118495,2,1,4,3,4
118497,3,3,1,5,1
118518,2,1,2,2,2
118520,1,4,2,2,5
118522,1,4,2,2,5
118525,1,4,2,4,3
118527,2,1,2,2,2
118534,2,1,2,2,2
118545,2,3,3,3,1
118550,1,2,3,3,5
118553,2,1,3,3,3
118556,2,2,1,2,2
118561,2,2,4,4,1
118566,2,2,4,4,1
118571,1,1,3,4,5
118576,4,2,1,3,5
118580,1,3,4,5,2
118585,1,1,3,3,3
118586,2,2,4,4,1
118590,3,2,5,3,1
118600,3,5,1,3,2
118604,1,2,3,3,5
118610,1,1,3,3,3
118620,1,2,3,3,5
118623,3,2,4,4,1
118630,1,3,5,2,3
118634,1,2,5,3,4
118639,3,3,1,3,2
118643,1,1,3,3,3
118651,1,5,2,2,2
118662,1,2,3,3,5
118663,1,2,3,4,5
118678,4,1,3,2,5
118681,1,2,5,4,3
118691,1,1,3,3,3
118694,2,5,2,2,1
118697,2,2,4,4,1
118700,1,2,4,4,3
118701,1,4,1,1,4
118702,2,2,1,2,2
118704,4,3,1,5,2
118707,2,4,1,5,3
118733,2,3,4,1,5
118740,1,1,5,4,3
118743,3,1,5,4,2
118747,3,2,1,4,4
118748,3,1,3,3,2
118764,1,4,1,1,4
118767,1,1,3,3,5
118775,2,1,3,3,3
118785,1,2,4,4,2
118800,4,1,2,5,2
118803,1,2,4,3,5
118806,2,2,4,1,4
118811,1,4,2,3,5
118814,2,4,1,3,5
118816,1,2,3,3,5
118830,1,2,3,5,4
118831,2,1,3,3,3
118832,3,5,1,3,2
118840,1,2,4,3,5
118842,1,4,1,1,5
118851,1,2,4,4,3
118867,1,3,3,2,3
118868,4,3,1,5,2
118872,3,3,1,1,3
118879,1,5,3,3,1
118882,3,2,1,4,5
118886,1,2,3,3,3
118887,5,2,1,4,3
118889,2,2,1,4,5
